Loading Dataset--
Creating new model 
Epoch #0
Train: 0.9870158045061853
Validation: 51.78342571223925
Epoch #1
Train: 0.8365531632247684
Validation: 1.7767106835948134
Epoch #2
Train: 0.8379089686142023
Validation: 0.9662001044642379
Epoch #3
Train: 0.8379267105498552
Validation: 0.9221968265571253
Epoch #4
Train: 0.8167851237929388
Validation: 0.827320494910865
Epoch #5
Train: 0.8274977780374221
Validation: 0.9258441523725931
Epoch #6
Train: 0.8258135237108228
Validation: 1.0096719453538143
Epoch #7
Train: 0.8208177568204608
Validation: 0.8100352126000593
Epoch #8
Train: 0.8225293081592667
Validation: 0.8554546375293565
Epoch #9
Train: 0.8230069678892752
Validation: 0.9182734779210355
Epoch #10
Train: 0.8096738713597611
Validation: 0.8159717580617751
Epoch #11
Train: 0.8162683428068814
Validation: 0.8463481474303594
Epoch #12
Train: 0.8085684828997107
Validation: 0.8125535802443707
Epoch #13
Train: 0.8137019266705883
Validation: 0.9857272915956561
Epoch #14
Train: 0.8135894775735609
Validation: 0.8140734660501717
Epoch #15
Train: 0.8129399448488132
Validation: 0.7971293980726839
Epoch #16
Train: 0.8148622321189538
Validation: 0.8011647135786164
Epoch #17
Train: 0.8078941432819163
Validation: 0.8422829062366013
Epoch #18
Train: 0.8018536216717639
Validation: 0.8077178984959362
Epoch #19
Train: 0.8109850912071203
Validation: 0.8002599026598675
Epoch #20
Train: 0.8078526569126577
Validation: 0.7958942141587101
Epoch #21
Train: 0.7961533263947601
Validation: 0.8018192529834751
Epoch #22
Train: 0.7974194358118079
Validation: 0.8198068880087789
Epoch #23
Train: 0.7977436540199014
Validation: 0.81150050518878
Epoch #24
Train: 0.8056465409271965
Validation: 0.7887842778056045
Epoch #25
Train: 0.7927286293673208
Validation: 0.8419808496008194
Epoch #26
Train: 0.7961280029779941
Validation: 0.7955180429659124
Epoch #27
Train: 0.7949113033867877
Validation: 0.7942700217535777
Epoch #28
Train: 0.7889715876729333
Validation: 0.7948432031205612
Epoch #29
Train: 0.7965426274274469
Validation: 0.8093559391132207
